2026-03-15T00:05:06.953268257Z stderr F I0315 00:05:06.952839       1 serving.go:386] Generated self-signed cert in-memory
2026-03-15T00:05:18.257481243Z stderr F W0315 00:05:18.257065       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2026-03-15T00:05:18.259544224Z stderr F W0315 00:05:18.258800       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2026-03-15T00:05:18.264634713Z stderr F W0315 00:05:18.262930       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
2026-03-15T00:05:18.264773166Z stderr F W0315 00:05:18.264672       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2026-03-15T00:05:18.552753004Z stderr F I0315 00:05:18.550434       1 server.go:166] "Starting Kubernetes Scheduler" version="v1.32.2"
2026-03-15T00:05:18.552853126Z stderr F I0315 00:05:18.550558       1 server.go:168] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2026-03-15T00:05:18.591052886Z stderr F I0315 00:05:18.589039       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-03-15T00:05:18.591764778Z stderr F I0315 00:05:18.591604       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2026-03-15T00:05:18.592855872Z stderr F I0315 00:05:18.592665       1 secure_serving.go:213] Serving securely on 127.0.0.1:10259
2026-03-15T00:05:18.593926167Z stderr F I0315 00:05:18.593616       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-03-15T00:05:18.66555397Z stderr F W0315 00:05:18.657923       1 reflector.go:569] k8s.io/client-go/informers/factory.go:160: failed to list *v1.StorageClass: storageclasses.storage.k8s.io is forbidden: User "system:kube-scheduler" cannot list resource "storageclasses" in API group "storage.k8s.io" at the cluster scope
